Model,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
0,Nissan LEAF,1252,1425,2507,2088,3117,2347,3019,3186,2881,2589,2687,3102,30200
1,Chevrolet Volt,918,1210,1478,1548,1684,1111,2020,2511,1394,1439,1336,1490,18805
2,Tesla Model S*,800,1089,1300,1100,1000,1500,800,600,2500,1300,1200,3500,16689
3,Toyota Prius PHV,803,1041,1452,1141,2692,1571,1371,818,353,419,451,492,13264
4,Ford Fusion Energi,533,179,899,143,1342,1939,1226,1222,640,686,152,789,11550
5,Ford C-Max Energi,411,552,610,525,182,988,831,1050,611,644,644,659,8433
6,BMW 13,0,0,0,0,336,358,363,1025,1022,1159,816,1013,6092
7,Fiat 500e et,310,336,644,442,416,636,528,535,518,217,211,279,5132
8,smart ED,97,122,186,203,206,278,298,208,182,150,313,351,2594
9,Ford Focus Electric,100,129,117,116,117,197,198,264,116,186,191,53,1964
