Model,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
0,Tesla Model S',850.0,1550.0,3990.0,800.0,1200.0,3100.0,1954.0,2852.0,4350.0,100.0,1100.0,5850,28896
1,Chevrolet Volt,996.0,1126.0,1865.0,1983.0,1901.0,1931.0,2406.0,2081.0,2031.0,2191.0,2531.0,3691,24139
2,"Tesla Model X""",210.0,210.0,1860.0,195.0,1600.0,2145.0,150.0,1833.0,3200.0,125.0,900.0,3815,18223
3,Ford Fusion Energi,581.0,932.0,1238.0,1331.0,1453.0,1100.0,1341.0,1422.0,1652.0,1312.0,1811.0,1099,15938
4,Nissan LEAF,155.0,930.0,1246.0,181.0,919.0,1096.0,1063.0,1066.0,1316.0,1412.0,1451.0,1899,14006
7,BMW X5 xDrive40e,181.0,345.0,313.0,655.0,500.0,583.0,649.0,816.0,482.0,406.0,436.0,569,5995
8,Fiat 500e-,305.0,210.0,455.0,395.0,425.0,280.0,225.0,360.0,690.0,145.0,590.0,650,5330
9,Audi A3 Sprtbk e-tron,321.0,243.0,332.0,326.0,361.0,353.0,349.0,346.0,312.0,348.0,394.0,589,4280
10,VW e-Golf,328.0,198.0,86.0,326.0,269.0,248.0,344.0,454.0,529.0,401.0,305.0,443,3931
11,Hyundai Sonata PHV-,115.0,200.0,215.0,250.0,235.0,225.0,315.0,235.0,260.0,255.0,285.0,325,3095
