2011,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
"Chevrolet
Volt",321,281,608,493,481,561,125,302,723,"1,108","1,139","1,529","7,671"
"Nissan
LEAF",87,67,298,573,"1,142","1,708",931,"1,362","1,031",849,672,954,"9,674"
"Mitsubishi
WO/",0,0,0,0,0,0,0,0,0,0,0,80,80
Monthly Total,408,348,906,1066,"1,623","2,269","1,056","1,664","1,754","1,957","1,811","2,563","17,425"
