Model,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
0,"Tesla Model S""",1100,1150,2450,1700,2400,2800,1600,1300,2500,1900,2702,3600,25202
1,Nissan LEAF,1070,1198,1817,1553,2104,2074,1174,1393,1247,1238,1054,1347,17269
2,Chevrolet Volt,542,693,639,905,1618,1225,1313,1380,949,2035,1980,2114,15393
3,BMW i3,670,1089,922,406,818,551,935,792,1710,986,723,1422,11024
4,Ford Fusion Energi,426,603,837,111,986,121,852,949,808,849,944,1058,9750
5,Ford C-Max Energi,395,498,115,553,115,667,693,723,719,695,639,579,7591
6,"Fiat 500e""""",259,315,1310,111,420,363,485,610,635,425,390,265,6194
7,VW e-Golf,181,130,195,309,410,293,313,381,343,596,472,609,4232
8,Toyota Prius PHV,401,397,473,428,121,464,584,344,216,91,44,22,4191
9,Chevrolet Spark EV,86,119,151,920,283,226,57,135,157,177,166,152,2629
